Locus_id
covR
covS
rocA
rgg
nga
fbaB
fbp54
fctA
grab
hasA
hylP1
hylP2
hylP3
ideS_mac
mf2
mf3
mf_spd
sda
sda1
speB
scpA
sic
sic2
ska
slo
