porB,tbpB,ST
1120,33,5024
3043,21,5025
3044,29,5026
251,1046,5027
3045,334,5028
3046,137,5029
3047,1047,5030
227,32,5031
3048,1048,5032
3049,461,5033
3050,1049,5034
1914,29,5035
3051,328,5036
103,92,5037
147,1050,5038
3052,328,5039
908,1051,5040
3053,98,5041
1642,1052,5042
3054,330,5043
3055,1053,5044
3056,70,5045
3057,29,5046
3058,1054,5047
832,586,5048
3059,29,5049
3060,27,5050
103,1055,5051
3061,1056,5052
3062,137,5053
3063,58,5054
3064,98,5055
3065,21,5056
1417,1057,5057
3066,29,5058
669,29,5059
488,953,5060
2978,1058,5061
3029,1036,5062
3067,1059,5063
3068,1060,5064
3069,75,5065
2894,1036,5066
35,32,5067
30,1061,5068
908,49,5069
30,132,5070
908,86,5071
3070,1062,5072
3071,156,5073
3072,4,5074
3073,110,5075
3074,110,5076
3075,263,5077
3076,4,5078
3077,18,5079
3078,1063,5080
1884,1064,5081
1884,1065,5082
2649,1066,5083
3079,1072,5084
852,215,5085
3080,737,5086
3081,1073,5087
361,238,5088
1914,208,5089
3082,16,5090
3083,110,5091
3084,21,5092
1389,4,5093
242,186,5094
130,1076,5095
90,1077,5096
3088,33,5097
3089,26,5098
3092,29,5099
3091,10,5100
1226,1078,5101
251,1079,5102
3093,4,5103
3093,186,5104
3094,4,5105
3095,75,5106
3096,4,5107
3097,29,5108
3098,1080,5109
3078,33,5110
3099,1081,5111
3100,156,5112
3101,4,5113
1053,913,5114
489,1082,5115
3102,186,5116
3103,4,5117
3040,32,5118
3104,29,5119
3105,118,5120
1824,137,5121
103,137,5122
1112,75,5123
3106,186,5124
3107,75,5125
1854,1083,5126
275,4,5127
997,91,5128
1132,1091,5129
1505,58,5130
1583,137,5131
1830,1088,5132
3108,137,5133
3109,98,5134
3110,186,5135
3111,1087,5136
3112,294,5137
2809,1084,5138
3113,137,5139
3114,1089,5140
3115,70,5141
3116,58,5142
3117,70,5143
3118,137,5144
3119,4,5145
3120,112,5146
3121,137,5147
3122,21,5148
90,1085,5149
3123,63,5150
3124,137,5151
90,1090,5152
90,1092,5153
147,103,5154
161,162,5155
275,21,5156
697,1086,5157
3125,180,5158
3059,49,5159
3126,110,5160
1135,1093,5161
1135,156,5162
3127,33,5163
3128,74,5164
182,1094,5165
4,913,5166
1053,1095,5167
23,12,5168
4,645,5169
3129,6,5170
3130,137,5171
3131,27,5172
3132,29,5173
3132,95,5174
3133,137,5175
3134,294,5176
3135,33,5177
3136,4,5178
3137,156,5179
3138,4,5180
3139,612,5181
3140,137,5182
3141,444,5183
3142,370,5184
3143,118,5185
3144,118,5186
1750,1107,5187
90,1096,5188
543,1097,5189
3145,118,5190
3146,118,5191
3147,29,5192
3148,4,5193
3149,29,5194
3150,265,5195
3151,74,5196
3150,16,5197
3152,330,5198
3153,188,5199
3154,293,5200
3155,1101,5201
3156,23,5202
3157,60,5203
3158,1103,5204
3159,110,5205
3160,1105,5206
3161,110,5207
3162,110,5208
2391,1007,5209
3042,18,5210
3042,1100,5211
348,29,5212
161,110,5213
1853,1098,5214
962,919,5215
757,744,5216
123,1099,5217
2674,393,5218
1903,1003,5219
1144,75,5220
2,110,5221
244,49,5222
301,110,5223
4,6,5224
90,1106,5225
697,29,5226
1808,1104,5227
997,1102,5228
997,1047,5229
3163,29,5230
3167,4,5231
3027,29,5232
3168,29,5233
4,1037,5234
3169,4,5235
3170,110,5236
3173,29,5237
3172,135,5238
3165,110,5239
3171,29,5240
3164,110,5241
3166,110,5242
3176,29,5243
1891,1108,5244
3177,135,5245
3178,29,5246
3036,4,5247
3179,455,5248
3180,4,5249
3181,4,5250
262,1109,5251
242,1110,5252
1961,75,5253
1961,1110,5254
1961,27,5255
1961,4,5256
164,1111,5257
90,278,5258
1961,25,5259
3182,25,5260
3183,457,5261
2060,118,5262
1961,156,5263
609,1113,5264
90,1114,5265
4,1115,5266
391,33,5267
19,25,5268
1903,1116,5269
3184,26,5270
3186,21,5271
3185,110,5272
3187,25,5273
3188,1117,5274
3189,4,5275
3190,4,5276
2719,1118,5277
3191,29,5278
3192,4,5279
3193,4,5280
3194,29,5281
3195,4,5282
3196,26,5283
3197,70,5284
402,1119,5285
90,1112,5286
3198,21,5287
3199,25,5288
3200,4,5289
3201,110,5290
3201,4,5291
3202,208,5292
3204,33,5293
3205,19,5294
3203,24,5295
3206,88,5296
3207,1120,5297
3208,21,5298
3209,110,5299
3210,135,5300
3211,4,5301
3212,602,5302
3213,1121,5303
1132,857,5304
3214,470,5305
1226,1122,5306
182,791,5307
3215,10,5308
3216,479,5309
3217,4,5310
3218,33,5311
3219,27,5312
1445,21,5313
3220,35,5314
3221,241,5315
3222,135,5316
3223,29,5317
3224,4,5318
3225,35,5319
3226,2,5320
3227,1123,5321
3228,186,5322
908,507,5323
609,113,5324
3174,4,5325
430,29,5326
383,174,5327
90,1126,5328
3230,110,5329
3231,4,5330
2426,1124,5331
908,1125,5332
3229,137,5333
1840,1127,5334
3232,110,5335
127,137,5336
3175,29,5337
1602,110,5338
1388,1128,5339
3233,118,5340
3234,27,5341
1954,1130,5342
581,1131,5343
3235,33,5344
3236,4,5345
3237,4,5346
3238,4,5347
3239,33,5348
3240,791,5349
3241,814,5350
3242,458,5351
3243,5,5352
3244,70,5353
1601,1132,5354
3245,294,5355
3246,197,5356
3247,612,5357
3248,703,5358
3249,186,5359
3250,110,5360
3251,110,5361
3252,25,5362
3253,263,5363
19,1133,5364
96,1134,5365
2147,29,5366
242,135,5367
161,197,5368
3254,137,5369
3255,953,5370
3256,16,5371
3257,110,5372
90,1088,5373
3259,4,5374
3260,1136,5375
433,1137,5376
1297,983,5377
4,543,5378
315,1138,5379
182,367,5380
3261,263,5381
3262,455,5382
3263,35,5383
3264,27,5384
3265,29,5385
1815,137,5386
2767,19,5387
997,4,5388
3266,29,5389
3267,227,5390
3268,4,5391
3269,110,5392
3270,29,5393
3271,110,5394
3272,29,5395
3273,291,5396
223,29,5397
17,27,5398
21,4,5399
3274,16,5400
3275,27,5401
3276,18,5402
3277,137,5403
3278,24,5404
3279,1139,5405
3029,483,5406
3280,137,5407
301,33,5408
3281,29,5409
3282,29,5410
3283,1129,5411
3284,110,5412
2043,132,5413
3285,181,5414
1615,1140,5415
3286,121,5416
3287,25,5417
3288,5,5418
3289,5,5419
3290,26,5420
161,91,5421
3291,29,5422
3292,4,5423
3293,27,5424
3294,29,5425
3295,33,5426
589,118,5427
1941,135,5428
2558,137,5429
71,293,5430
3296,21,5431
1042,21,5432
711,4,5433
91,62,5434
147,110,5435
730,110,5436
90,120,5437
90,135,5438
997,135,5439
223,148,5440
30,18,5441
887,18,5442
14,19,5443
2700,25,5444
1582,33,5445
35,33,5446
90,334,5447
296,371,5448
19,5,5449
39,60,5450
64,60,5451
343,894,5452
28,1121,5453
35,1121,5454
1874,1141,5455
96,1142,5456
3297,29,5457
3298,110,5458
3299,5,5459
3301,110,5460
3300,4,5461
3305,110,5462
3302,4,5463
3303,110,5464
3304,4,5465
1577,4,5466
2150,4,5467
3306,21,5468
3307,21,5469
3308,39,5470
3309,27,5471
3310,263,5472
3311,563,5473
3312,39,5474
265,186,5475
1808,35,5476
18,60,5477
697,1143,5478
3313,29,5479
3314,110,5480
61,110,5481
103,446,5482
18,1144,5483
2831,782,5484
3316,29,5485
3317,118,5486
251,1049,5487
3318,21,5488
182,91,5489
18,49,5490
4,1144,5491
18,91,5492
543,27,5493
1534,27,5494
1033,16,5495
3205,16,5496
2513,118,5497
3319,118,5498
63,782,5499
515,110,5500
3320,27,5501
3321,110,5502
3322,118,5503
18,118,5504
59,135,5505
3323,10,5506
3324,16,5507
3325,1145,5508
3326,32,5509
3327,32,5510
3328,241,5511
3329,1146,5512
454,29,5513
332,21,5514
3330,29,5515
3331,4,5516
3332,1147,5517
91,1148,5518
3333,27,5519
3266,19,5520
19,1149,5521
3334,3,5522
876,49,5523
3335,241,5524
1808,264,5525
3336,137,5526
908,1150,5527
3337,1151,5528
3338,1152,5529
3339,1093,5530
90,1153,5531
3344,1161,5532
3345,110,5533
3346,110,5534
719,1163,5535
3347,272,5536
3348,110,5537
3351,1164,5538
2824,1165,5539
3352,241,5540
997,953,5541
3353,10,5542
3354,29,5543
161,1162,5544
3355,1166,5545
3356,29,5546
147,278,5547
251,1167,5548
3358,156,5549
3359,27,5550
1053,1036,5551
3360,156,5552
3361,29,5553
3362,1168,5554
343,1169,5555
631,1170,5556
1884,1171,5557
3363,33,5558
3364,4,5559
3365,39,5560
3366,29,5561
737,16,5562
3367,137,5563
3368,75,5564
3369,956,5565
3349,4,5566
3371,110,5567
3372,33,5568
489,137,5569
3373,110,5570
147,1172,5571
3374,24,5572
1143,29,5573
201,186,5574
420,91,5575
3375,60,5576
3376,136,5577
3377,137,5578
3378,60,5579
3379,915,5580
3380,110,5581
3381,29,5582
90,1173,5583
2626,953,5584
3382,10,5585
3383,399,5586
3384,74,5587
3337,110,5588
3385,197,5589
266,160,5590
3386,110,5591
3387,321,5592
3388,110,5593
3389,110,5594
3390,110,5595
3391,110,5596
3392,110,5597
3393,75,5598
3394,110,5599
3395,110,5600
3396,4,5601
3397,98,5602
37,10,5603
3398,1174,5604
3399,75,5605
3400,75,5606
3401,110,5607
488,1175,5608
3315,4,5609
18,110,5610
908,16,5611
174,21,5612
3403,137,5613
3404,110,5614
3405,5,5615
3406,1176,5616
3407,1177,5617
3408,3,5618
3409,110,5619
201,39,5620
3410,24,5621
3411,110,5622
90,857,5623
90,953,5624
3412,110,5625
3413,110,5626
3414,29,5627
3415,29,5628
3416,74,5629
3418,29,5630
90,261,5631
3419,110,5632
3325,1139,5633
3420,1145,5634
147,1178,5635
3421,29,5636
249,197,5637
804,29,5638
3422,110,5639
1914,1179,5640
3423,110,5641
2623,1180,5642
3424,110,5643
3425,16,5644
39,18,5645
3426,27,5646
1602,75,5647
3427,25,5648
2677,110,5649
3428,4,5650
1602,49,5651
3429,321,5652
3430,1181,5653
383,4,5654
3417,4,5655
3431,563,5656
3432,738,5657
3433,110,5658
3434,110,5659
3435,110,5660
3436,119,5661
3437,4,5662
3438,4,5663
161,23,5664
206,873,5665
223,27,5666
307,241,5667
337,110,5668
307,110,5669
580,241,5670
1301,110,5671
1388,874,5672
1398,241,5673
1495,110,5674
1543,21,5675
1718,110,5676
1740,21,5677
1740,241,5678
1740,29,5679
1770,21,5680
1785,33,5681
1785,241,5682
1914,24,5683
2147,24,5684
2193,21,5685
2460,21,5686
2481,10,5687
2482,241,5688
2482,21,5689
2494,241,5690
2505,113,5691
2551,24,5692
2553,21,5693
2566,29,5694
2629,10,5695
2980,113,5696
361,1159,5697
3445,9,5698
580,328,5699
3446,1185,5700
3447,110,5701
3448,953,5702
3449,4,5703
2053,32,5704
1693,4,5705
232,135,5706
3439,4,5707
3440,74,5708
3441,33,5709
3442,399,5710
738,273,5711
266,674,5712
402,174,5713
738,6,5714
90,351,5715
1632,189,5716
402,305,5717
421,629,5718
61,626,5719
3444,629,5720
251,674,5721
919,25,5722
919,4,5723
3451,137,5724
90,1186,5725
315,98,5726
3452,98,5727
3453,98,5728
3453,186,5729
18,909,5730
919,118,5731
477,27,5732
87,118,5733
1614,118,5734
2060,191,5735
206,118,5736
433,640,5737
91,758,5738
61,866,5739
745,15,5740
1030,629,5741
3450,118,5742
433,118,5743
126,189,5744
571,395,5745
463,425,5746
266,866,5747
738,866,5748
433,866,5749
463,866,5750
2796,738,5751
3350,965,5752
361,154,5753
2829,21,5754
596,1187,5755
3456,723,5756
3455,29,5757
3454,4,5758
543,234,5759
3457,33,5760
3458,597,5761
3459,33,5762
3460,24,5763
3461,98,5764
3462,294,5765
1057,738,5766
1057,395,5767
1057,118,5768
1057,866,5769
1,399,5770
2246,27,5771
1878,395,5772
925,118,5773
1057,174,5774
1169,191,5775
1057,640,5776
1440,4,5777
2243,4,5778
3450,189,5779
1057,15,5780
3464,334,5781
2,1188,5782
2899,316,5783
3465,110,5784
402,33,5785
2206,27,5786
3466,75,5787
1224,29,5788
90,738,5789
3467,10,5790
3468,110,5791
3463,189,5792
55,39,5793
3469,428,5794
3470,107,5795
2507,4,5796
3471,791,5797
3472,110,5798
3473,110,5799
3474,49,5800
3475,726,5801
3373,29,5802
2899,954,5803
2,1191,5804
3476,156,5805
3477,156,5806
3478,33,5807
3027,1192,5808
3479,234,5809
3480,186,5810
2684,98,5811
3481,563,5812
3482,563,5813
985,1193,5814
3483,738,5815
37,629,5816
3484,341,5817
3485,4,5818
985,4,5819
3486,27,5820
3487,321,5821
2042,27,5822
91,174,5823
3488,4,5824
803,35,5825
3483,4,5826
3489,1194,5827
91,1194,5828
433,189,5829
3490,189,5830
2042,1195,5831
3491,112,5832
3492,33,5833
3493,1054,5834
2770,137,5835
3494,29,5836
232,735,5837
3495,29,5838
1808,1061,5839
3450,866,5840
3496,110,5841
3497,29,5842
1388,4,5843
33,21,5844
3498,110,5845
3499,355,5846
851,1196,5847
261,1190,5848
922,110,5849
3500,70,5850
3488,27,5851
3503,1197,5852
3504,174,5853
433,1197,5854
3505,1198,5855
2009,118,5856
383,1195,5857
37,174,5858
1605,118,5859
383,812,5860
1672,393,5861
1645,135,5862
3486,118,5863
3506,24,5864
975,1199,5865
3450,6,5866
997,1200,5867
1808,1201,5868
3507,266,5869
123,61,5870
1253,687,5871
1164,268,5872
2188,778,5873
3511,110,5874
3512,110,5875
1824,75,5876
1808,825,5877
582,526,5878
2317,33,5879
3513,241,5880
3514,113,5881
260,1205,5882
3515,10,5883
3504,1206,5884
3516,110,5885
3517,110,5886
3518,27,5887
3519,241,5888
203,1207,5889
2550,27,5890
2505,1208,5891
3520,10,5892
2553,1209,5893
3521,29,5894
2700,110,5895
3522,33,5896
3523,29,5897
161,1210,5898
3524,28,5899
1202,186,5900
952,1211,5901
3525,33,5902
3526,526,5903
3527,75,5904
995,1212,5905
3528,26,5906
406,1213,5907
3529,27,5908
3530,579,5909
1304,1214,5910
130,561,5911
103,320,5912
3531,186,5913
3532,156,5914
3533,10,5915
3534,4,5916
182,738,5917
1364,186,5918
3085,362,5919
1614,1195,5920
3537,305,5921
3538,412,5922
621,412,5923
3539,189,5924
738,1197,5925
3540,399,5926
266,104,5927
3541,189,5928
621,1195,5929
383,72,5930
688,90,5931
23,74,5932
3452,25,5933
3453,72,5934
383,90,5935
3544,273,5936
3545,4,5937
985,27,5938
14,391,5939
3546,27,5940
3547,27,5941
2009,11,5942
383,1218,5943
71,27,5944
603,25,5945
3505,118,5946
3548,4,5947
745,1197,5948
3549,27,5949
37,491,5950
3550,391,5951
3548,27,5952
3488,21,5953
3548,1034,5954
3551,27,5955
433,1176,5956
3552,273,5957
266,11,5958
3553,29,5959
3554,137,5960
971,29,5961
908,1219,5962
3555,29,5963
246,33,5964
3556,477,5965
3557,1220,5966
3558,4,5967
3559,4,5968
820,29,5969
3560,110,5970
1914,4,5971
35,1215,5972
3564,110,5973
3565,110,5974
3566,110,5975
3567,27,5976
3568,4,5977
3571,110,5978
3569,4,5979
3570,4,5980
3572,21,5981
3573,4,5982
3245,75,5983
3574,110,5984
3575,1189,5985
3576,4,5986
3577,75,5987
3578,1077,5988
3579,156,5989
3580,156,5990
4,908,5991
3581,186,5992
279,25,5993
53,1067,5994
3582,21,5995
1150,1068,5996
161,227,5997
160,1068,5998
1165,1069,5999
1154,58,6000
2736,146,6001
3583,21,6002
645,58,6003
3584,136,6004
3585,21,6005
407,10,6006
1135,103,6007
53,162,6008
147,325,6009
3582,58,6010
64,137,6011
3586,334,6012
3588,4,6013
2060,835,6014
389,703,6015
53,61,6016
1090,294,6017
90,1070,6018
251,833,6019
3589,26,6020
217,738,6021
534,75,6022
90,703,6023
816,98,6024
91,39,6025
91,294,6026
3590,75,6027
3109,1071,6028
3591,32,6029
3592,32,6030
3593,32,6031
1985,120,6032
505,32,6033
3594,91,6034
3587,21,6035
2270,21,6036
1164,372,6037
1951,4,6038
2277,461,6039
3595,126,6040
26,440,6041
3596,108,6042
2283,2,6043
1281,58,6044
3597,456,6045
3598,294,6046
3599,21,6047
3600,122,6048
3601,21,6049
251,29,6050
3602,4,6051
1132,24,6052
4,72,6053
3603,105,6054
3603,58,6055
3604,33,6056
3477,1161,6057
3078,1161,6058
123,1224,6059
3605,1161,6060
3606,814,6061
3607,33,6062
3608,33,6063
3609,33,6064
3609,21,6065
2824,136,6066
1253,718,6067
1991,1225,6068
184,1225,6069
3078,1226,6070
3477,1227,6071
3610,1228,6072
3611,21,6073
3612,307,6074
3613,1222,6075
2019,1229,6076
3614,15,6077
3615,70,6078
251,121,6079
3616,136,6080
3617,1230,6081
3622,1233,6082
3610,70,6083
2229,1234,6084
139,1231,6085
3618,814,6086
123,1235,6087
90,1232,6088
1991,1161,6089
3619,718,6090
3620,1161,6091
3623,1161,6092
3621,21,6093
862,1236,6094
1173,262,6095
266,249,6096
433,1198,6097
3624,39,6098
3625,137,6099
121,1238,6100
206,1239,6101
14,138,6102
3626,39,6103
28,76,6104
381,275,6105
91,1240,6106
3627,29,6107
543,70,6108
903,121,6109
132,965,6110
3628,4,6111
1050,1241,6112
546,70,6113
206,1242,6114
3629,278,6115
3630,4,6116
3631,21,6117
3585,120,6118
3632,58,6119
91,1243,6120
3633,1244,6121
2063,29,6122
1144,32,6123
3634,29,6124
924,58,6125
443,507,6126
3635,60,6127
3636,1245,6128
3637,118,6129
3638,25,6130
4,1246,6131
3639,88,6132
252,4,6133
7,1247,6134
461,1248,6135
121,25,6136
3640,1090,6137
3641,373,6138
3642,24,6139
90,899,6140
139,1249,6141
3502,110,6142
1143,1250,6143
3501,4,6144
922,186,6145
3643,110,6146
1489,86,6147
3644,4,6148
1824,186,6149
3645,98,6150
2388,186,6151
3646,738,6152
3561,4,6153
361,612,6154
1808,110,6155
3648,29,6156
3547,393,6157
383,6,6158
688,32,6159
193,74,6160
3649,110,6161
3650,110,6162
3651,110,6163
3652,563,6164
3653,6,6165
3654,110,6166
3655,27,6167
3656,26,6168
2836,18,6169
3657,27,6170
3658,1256,6171
3659,4,6172
3660,334,6173
3661,110,6174
3662,16,6175
3663,137,6176
301,1258,6177
128,4,6178
803,4,6179
90,991,6180
1291,4,6181
1183,393,6182
2856,273,6183
762,4,6184
100,4,6185
489,187,6186
463,4,6187
266,305,6188
3665,186,6189
223,156,6190
2684,1259,6191
3666,186,6192
3667,29,6193
301,98,6194
328,33,6195
832,189,6196
953,1260,6197
3668,29,6198
811,29,6199
3669,110,6200
3670,21,6201
3671,60,6202
3672,4,6203
3336,897,6204
3673,110,6205
263,1261,6206
135,18,6207
2037,7,6208
3536,350,6209
1914,1262,6210
251,33,6211
90,1263,6212
281,738,6213
3676,1264,6214
3677,29,6215
406,1265,6216
2899,181,6217
3678,32,6218
3679,32,6219
3680,32,6220
3681,22,6221
3682,22,6222
3683,32,6223
90,1221,6224
3486,4,6225
1642,6,6226
745,100,6227
620,291,6228
3383,6,6229
982,674,6230
948,100,6231
745,118,6232
232,961,6233
931,27,6234
232,305,6235
37,1174,6236
369,4,6237
23,6,6238
1763,321,6239
3684,563,6240
3685,563,6241
3686,206,6242
3687,137,6243
852,29,6244
3688,791,6245
3689,4,6246
3446,110,6247
688,29,6248
1543,241,6249
14,110,6250
2569,21,6251
503,10,6252
1785,27,6253
851,896,6254
908,570,6255
2111,241,6256
1972,353,6257
1785,29,6258
2081,483,6259
2482,113,6260
135,129,6261
1743,1116,6262
387,29,6263
2566,113,6264
1733,873,6265
337,21,6266
2507,5,6267
2,1266,6268
3690,29,6269
30,1267,6270
3691,6,6271
251,1268,6272
2758,91,6273
3692,129,6274
3693,10,6275
3694,5,6276
3695,137,6277
1304,367,6278
289,1133,6279
3696,29,6280
1388,49,6281
103,1269,6282
1893,186,6283
952,156,6284
25,25,6285
1785,1270,6286
3698,241,6287
3699,4,6288
3700,110,6289
1874,70,6290
3702,33,6291
3703,1058,6292
3704,29,6293
3705,1271,6294
96,188,6295
3706,29,6296
3707,4,6297
3708,27,6298
103,563,6299
3710,70,6300
3711,4,6301
3712,4,6302
3713,4,6303
3714,25,6304
3715,25,6305
3716,25,6306
3717,110,6307
3718,563,6308
3719,137,6309
3720,4,6310
3722,25,6311
3723,1036,6312
3724,35,6313
3725,110,6314
3726,110,6315
147,1272,6316
39,1273,6317
124,1274,6318
3614,688,6319
3728,136,6320
3729,740,6321
3730,136,6322
3731,1237,6323
39,49,6324
2649,29,6325
443,386,6326
95,455,6327
442,1275,6328
3732,1163,6329
3709,4,6330
3733,3,6331
3734,60,6332
103,75,6333
3735,149,6334
3736,29,6335
3738,137,6336
124,1276,6337
30,1266,6338
3741,18,6339
3742,27,6340
3743,563,6341
1903,997,6342
3744,21,6343
3745,49,6344
3746,27,6345
3747,16,6346
3748,137,6347
3727,1278,6348
3749,110,6349
3750,110,6350
3299,16,6351
3674,27,6352
3247,25,6353
3751,470,6354
3369,18,6355
3954,4,6356
3955,18,6357
1217,29,6358
3956,29,6359
3957,563,6360
3958,29,6361
30,1288,6362
6,29,6363
14,10,6364
105,10,6365
105,110,6366
105,113,6367
160,113,6368
160,1284,6369
175,110,6370
175,241,6371
175,264,6372
182,27,6373
182,264,6374
182,1023,6375
197,10,6376
206,353,6377
241,186,6378
274,110,6379
357,384,6380
444,27,6381
444,29,6382
444,241,6383
584,21,6384
609,264,6385
609,861,6386
683,27,6387
908,21,6388
915,10,6389
916,1279,6390
917,110,6391
917,1180,6392
1059,4,6393
1059,264,6394
1259,29,6395
1442,24,6396
1445,29,6397
1543,4,6398
1543,110,6399
1543,353,6400
1724,33,6401
1741,21,6402
1741,26,6403
1743,10,6404
1744,10,6405
1782,29,6406
2342,29,6407
2399,1281,6408
2450,29,6409
2481,21,6410
2481,27,6411
2481,264,6412
2496,241,6413
3283,29,6414
3841,10,6415
3903,110,6416
3893,21,6417
3906,29,6418
3883,10,6419
3952,10,6420
3952,21,6421
3952,110,6422
3952,264,6423
3934,241,6424
3931,10,6425
3890,29,6426
3898,241,6427
3838,1285,6428
3859,278,6429
3848,10,6430
3923,10,6431
3884,10,6432
3841,110,6433
3812,110,6434
3815,110,6435
3815,10,6436
3817,24,6437
3818,29,6438
3821,1283,6439
3828,29,6440
3831,29,6441
3886,10,6442
3925,10,6443
3818,278,6444
3780,241,6445
3786,29,6446
3790,10,6447
3943,29,6448
3926,10,6449
3796,110,6450
3762,10,6451
3762,27,6452
3766,29,6453
3770,1286,6454
3772,113,6455
3773,29,6456
3777,29,6457
3778,10,6458
3778,21,6459
3833,10,6460
3834,25,6461
3835,25,6462
3835,110,6463
3752,10,6464
3753,110,6465
3754,27,6466
3832,10,6467
3861,4,6468
3775,4,6469
3755,5,6470
3756,110,6471
3757,873,6472
3758,21,6473
3759,21,6474
3760,29,6475
3761,110,6476
3763,110,6477
3765,110,6478
3767,113,6479
3768,110,6480
3769,110,6481
3772,1287,6482
3774,110,6483
3776,10,6484
3781,10,6485
3782,10,6486
3783,29,6487
3784,110,6488
3785,21,6489
3787,21,6490
3788,27,6491
3789,872,6492
3791,29,6493
3792,21,6494
3793,110,6495
3794,21,6496
3795,29,6497
3796,29,6498
3797,29,6499
3798,10,6500
3799,27,6501
3800,353,6502
3801,27,6503
3802,10,6504
3803,21,6505
3804,10,6506
3805,24,6507
3806,10,6508
3807,29,6509
3808,29,6510
3809,10,6511
3810,241,6512
3811,10,6513
3813,29,6514
3814,29,6515
3816,10,6516
3819,110,6517
3820,241,6518
3821,29,6519
3822,353,6520
3823,110,6521
3824,10,6522
3825,110,6523
3826,10,6524
3827,871,6525
3829,187,6526
3830,21,6527
3836,241,6528
3837,110,6529
3839,21,6530
3840,241,6531
3842,29,6532
3843,29,6533
3844,10,6534
3845,10,6535
3846,29,6536
3847,110,6537
3849,29,6538
3850,10,6539
3851,10,6540
3852,29,6541
3853,24,6542
3854,10,6543
3855,241,6544
3856,10,6545
3857,29,6546
3858,873,6547
3859,10,6548
3860,241,6549
3862,10,6550
3863,10,6551
3864,10,6552
3865,33,6553
3866,455,6554
3867,4,6555
3868,110,6556
3869,110,6557
3870,241,6558
3871,110,6559
3872,241,6560
3873,241,6561
3874,10,6562
3875,29,6563
3876,276,6564
3878,10,6565
3879,110,6566
3880,27,6567
3881,27,6568
3882,27,6569
3885,21,6570
3887,10,6571
3888,10,6572
3889,110,6573
3891,264,6574
3892,10,6575
3894,21,6576
3895,10,6577
3896,21,6578
3897,33,6579
3899,1282,6580
3900,241,6581
3901,10,6582
3902,241,6583
3903,10,6584
3904,10,6585
3905,264,6586
3906,21,6587
3907,10,6588
3908,10,6589
3909,10,6590
3910,10,6591
3911,29,6592
3912,29,6593
3913,10,6594
3914,27,6595
3915,21,6596
3916,241,6597
3917,21,6598
3918,21,6599
3919,21,6600
3920,241,6601
3921,10,6602
3922,241,6603
3924,21,6604
3927,21,6605
3928,29,6606
3929,110,6607
3930,276,6608
3932,241,6609
3933,33,6610
3934,10,6611
3935,10,6612
3936,10,6613
3937,29,6614
3938,241,6615
3939,1282,6616
3940,10,6617
3941,110,6618
3942,1280,6619
3944,264,6620
3945,10,6621
3946,29,6622
3947,10,6623
3948,353,6624
3949,24,6625
3949,29,6626
3950,4,6627
3951,10,6628
3952,33,6629
3953,10,6630
3959,110,6631
3960,110,6632
3961,1065,6633
851,197,6634
3962,110,6635
2155,25,6636
3963,27,6637
3964,110,6638
3965,186,6639
3966,110,6640
3967,4,6641
3968,95,6642
3969,110,6643
3664,16,6644
3675,16,6645
30,1289,6646
3362,1290,6647
3970,136,6648
3971,330,6649
161,330,6650
3972,113,6651
3973,241,6652
3974,110,6653
1059,507,6654
3975,21,6655
3976,29,6656
3977,507,6657
3978,507,6658
3979,4,6659
908,1291,6660
2625,110,6661
3980,241,6662
3981,241,6663
3982,110,6664
3841,1292,6665
1274,110,6666
3983,21,6667
3984,507,6668
3985,21,6669
3519,1293,6670
3986,21,6671
1715,110,6672
2813,687,6673
3536,340,6674
1844,1217,6675
1662,1252,6676
567,1251,6677
3988,566,6678
3989,1300,6679
3990,186,6680
3991,470,6681
90,1301,6682
1900,29,6683
3992,738,6684
2684,186,6685
164,367,6686
3993,98,6687
667,1302,6688
3994,33,6689
3995,137,6690
3996,33,6691
3997,6,6692
1824,156,6693
3998,29,6694
3999,49,6695
997,60,6696
91,773,6697
465,4,6698
55,16,6699
4000,4,6700
4001,27,6701
3508,1202,6702
3509,612,6703
406,1158,6704
3510,21,6705
251,1254,6706
1798,1204,6707
3563,623,6708
3343,268,6709
683,1304,6710
1678,33,6711
1582,4,6712
4005,137,6713
4006,278,6714
251,1103,6715
3629,186,6716
997,208,6717
4008,10,6718
4009,110,6719
1489,32,6720
4010,25,6721
4011,25,6722
4012,1305,6723
4013,2,6724
4014,25,6725
175,29,6726
3891,29,6727
3952,29,6728
1059,29,6729
3905,29,6730
3944,29,6731
30,1163,6732
4015,137,6733
4016,33,6734
4017,110,6735
232,49,6736
121,1221,6737
3535,165,6738
91,1298,6739
251,965,6740
2811,21,6741
2913,21,6742
1828,1299,6743
4018,1306,6744
124,948,6745
90,1210,6746
430,24,6747
485,129,6748
15,743,6749
1706,76,6750
962,334,6751
574,1133,6752
4049,10,6753
4043,10,6754
4063,241,6755
4050,241,6756
4062,35,6757
4052,27,6758
4057,241,6759
4058,110,6760
4056,241,6761
4,1307,6762
4068,241,6763
4066,21,6764
2078,29,6765
4066,241,6766
4059,241,6767
4051,110,6768
4061,241,6769
467,1307,6770
4028,241,6771
4053,27,6772
4054,276,6773
4055,4,6774
4059,10,6775
4060,241,6776
4064,10,6777
4065,10,6778
4067,241,6779
4069,110,6780
4070,241,6781
1589,21,6782
4042,110,6783
90,1308,6784
2103,1307,6785
3984,10,6786
4020,110,6787
4021,27,6788
4022,10,6789
4023,21,6790
