Inc,MIC,Interp
1,<=0.016,S
2,0.032,S
3,0.063,S
4,0.125,S
5,0.25,S
6,0.5,S
7,1,R
8,2,R
9,4,R
10,8,R
11,16,R
12,32,R
13,>=64,R
