SampleNo
SC15-0732-P
SC16-4486-P
SC16-4506-P
SC15-2653-P
SC15-4238-P
SC15-1702-P
SC10-2426-P
SC15-1688-P
SC16-4539-P
SC13-4277-P
SC16-4516-P
SC15-1905-P
SC15-2706-P
SC15-3460-P
SC15-0224-P
SC15-3876-P
SC15-1582-P
SC15-1742-P
SC15-3262-P
SC15-1138-P
SC12-3273-P
SC13-4117-P
SC15-3784-P
SC0172
SC16-4500-P
SC12-1049-P
SC10-1181-P
SC15-2511-P
SC15-1312-P
SC10-0428
SC16-4515-P
SC15-0288-P
SC14-1132-P
SC13-0446-P
SC15-2607-P
SC13-3811-P
SC16-4479-P
SC15-3047-P
SC0049
SC16-4521-P
SC15-1450-P
SC0045
SC12-1395-P
SC11-4277-P
SC15-2116-P
SC14-0344-P
SC10-2635-P
SC16-4495-P
SC14-0257-P
SC15-0461-P
SC14-1101-P
SC13-3942-P
SC15-0431-P
SC15-3154-P
SC14-0155-P
SC15-0414-P
SC16-4510-P
SC0086
SC14-0908-P
SC15-0616-P
SC15-1892-P
SC16-4520-P
SC12-1140-P
SC0059
SC15-3143-P
SC14-0566-P
SC15-0972-P
SC10-0415
SC15-1973-P
SC15-3627-P
SC15-2134-P
SC16-4513-P
SC15-0372-P
SC15-1487-P
SC0028
SC15-0966-P
SC10-0214-P
SC16-4554-P
SC11-0196-P
SC0190
SC16-4540-P
SC15-3797-P
SC11-2665-P
SC15-2446-P
SC10-2157-P
SC16-4494-P
SC16-4541-P
SC16-4547-P
SC13-0464-P
SC0051
SC15-0364-P
SC15-0170-P
SC15-2703-P
SC12-1136-P
SC16-4548-P
SC14-4402-P
SC15-1593-P
SC14-2193-P
SC0044
SC15-0509-P
SC12-1475-P
SC0262
SC10-1508-P
SC15-2567-P
SC15-3517-P
SC16-4488-P
SC0212
SC16-4481-P
SC15-2304-P
SC0022
SC15-1158-P
SC16-4526-P
SC11-1930-P
SC15-2570-P
SC15-1540-P
SC11-4291-P
SC13-4981-P
SC0096
SC12-4085-P
SC16-4512-P
SC12-3421-P
SC13-0550-P
SC12-1300-P
SC15-3048-P
SC16-4499-P
SC16-4551-P
SC13-0387-P
SC0010
SC15-2520-P
SC15-1986-P
SC15-3258-P
SC16-4535-P
SC15-3050-P
SC16-4529-P
SC0169
SC15-0376-P
SC14-0079-P
SC15-2519-P
SC13-0172-P
SC15-0335-P
SC11-3845-P
SC16-4497-P
SC16-4536-P
SC16-4537-P
SC16-4487-P
SC15-1447-P
SC0271
SC13-3951-P
SC12-3317-P
SC15-3260-P
SC15-0611-P
SC15-0704-P
SC15-2565-P
SC14-1346-P
SC11-2661-P
SC16-4523-P
SC0042
SC15-0373-P
SC15-3213-P
SC16-4517-P
SC12-1517-P
SC16-4519-P
SC16-4482-P
SC15-0754-P
SC16-4550-P
SC15-2245-P
SC15-3214-P
SC15-1979-P
SC15-2370-P
SC15-0456-P
SC15-2499-P
SC0025
SC15-1652-P
SC14-2815-P
SC16-4546-P
SC11-2176-P
SC11-4154-P
SC10-0429
SC15-4226-P
SC14-3896-P
SC16-4503-P
SC16-4533-P
SC0053
SC13-0492-P
SC15-2505-P
SC0129
SC16-4534-P
SC15-2430-P
SC15-3668-P
SC15-0755-P
SC12-0690-P
SC10-2274-P
SC13-1749-P
SC0286
SC16-4530-P
SC10-1956-P
SC0199
SC16-4514-P
SC0174
SC15-0435-P
SC16-4552-P
SC15-0746-P
SC15-0817-P
SC15-1308-P
SC12-1056-P
SC0029
SC12-3123-P
SC12-1343-P
SC15-2373-P
SC13-3157-P
SC0011
SC16-4509-P
SC15-1159-P
SC13-3765-P
SC15-0388-P
SC16-0023-P
SC14-2194-P
SC15-2832-P
SC14-3160-P
SC13-0437-P
SC15-0940-P
SC15-0418-P
SC15-0625-P
SC12-0686-P
SC14-2996-P
SC11-2541-P
SC15-3212-P
SC12-0176-P
SC11-4569-P
SC12-3371-P
SC15-2169-P
SC14-3489-P
SC16-4532-P
SC15-0877-P
SC13-4111-P
SC15-3129-P
SC15-0248-P
SC15-3620-P
SC15-1317-P
SC16-4518-P
SC15-1440-P
SC0291
SC15-2259-P
SC15-1153-P
SC15-3783-P
SC15-2233-P
SC15-0607-P
SC15-0618-P
SC13-2391-P
SC15-0284-P
SC15-0467-P
SC15-4117-P
SC11-1672-P
SC15-0255-P
SC15-1319-P
SC13-0337-P
SC15-0283-P
SC16-4490-P
SC16-4553-P
SC14-3031-P
SC11-3328-P
SC16-4524-P
SC16-4544-P
SC13-4782-P
SC10-1906-P
SC15-2171-P
SC10-0501-P
SC14-2976-P
SC10-1348-P
SC16-4543-P
SC16-4493-P
SC11-0040-P
SC12-1999-P
SC15-1453-P
SC10-0508-P
SC14-0613-P
SC13-3422-P
SC0093
SC15-2357-P
SC15-2168-P
SC16-4492-P
SC15-1602-P
SC10-2650-P
SC13-0340-P
SC16-4501-P
SC15-2302-P
SC10-0964-P
SC15-3019-P
SC15-4127-P
SC11-0537-P
SC16-4511-P
SC12-2080-P
SC15-3565-P
SC10-0660-P
SC16-4485-P
SC11-2024-P
SC15-2538-P
SC16-4531-P
SC13-4417-P
SC15-0279-P
SC15-4061-P
SC11-1576-P
SC16-4522-P
SC13-2679-P
SC16-4484-P
SC12-0355-P
SC15-0623-P
SC16-4538-P
SC11-4308-P
SC11-4183-P
SC15-2381-P
SC16-4542-P
SC15-0619-P
SC15-2459-P
SC15-1594-P
SC15-1451-P
SC16-4527-P
SC15-3232-P
SC12-1744-P
SC15-4210-P
SC15-2244-P
SC15-2589-P
SC15-1857-P
SC10-0673-P
SC13-4859-P
SC16-4496-P
SC11-0633-P
SC15-0871-P
SC10-2772-P
SC10-1319-P
SC14-1586-P
SC15-1428-P
SC13-4808-P
SC10-2663-P
SC15-0971-P
SC0035
SC15-3550-P
SC0082
SC14-0171-P
SC16-4483-P
SC15-3863-P
SC15-0278-P
SC0075
SC16-4507-P
SC0023
SC15-2235-P
SC15-3654-P
SC0050
SC13-3976-P
SC15-1591-P
SC15-0939-P
SC15-1237-P
SC15-3802-P
SC15-1202-P
SC0268
SC11-3753-P
SC15-2609-P
SC12-4269-P
SC13-4393-P
SC14-2030-P
SC10-0676-P
SC0031
SC15-3625-P
SC15-1987-P
SC15-4128-P
SC16-4528-P
SC15-0964-P
SC16-4505-P
SC15-0240-P
SC10-2828-P
SC13-2480-P
SC0066
SC10-0915-P
SC11-2053-P
SC12-0178-P
SC15-3871-P
SC0188
SC12-3621-P
SC13-4443-P
SC13-3846-P
SC15-2173-P
SC15-1574-P
SC16-4502-P
SC11-2372-P
SC16-4489-P
SC15-2367-P
SC15-4001-P
SC16-4545-P
SC16-4508-P
SC0009
SC16-4480-P
SC13-4733-P
SC11-4490-P
SC15-1981-P
SC15-2816-P
SC15-3617-P
SC15-2195-P
SC0218
SC15-2813-P
SC15-1238-P
SC12-0779-P
SC13-3634-P
SC14-1120-P
SC16-4504-P
SC16-4498-P
SC15-0732-P
